date;kurs_close;value_import;value_export;volume_import;volume_export
2018-11-02;14953;189;180;171719;608906
2018-11-05;14976;189;180;171719;608906
2018-11-06;14803;189;180;171719;608906
2018-11-07;14580;189;180;171719;608906
2018-11-08;14540;189;180;171719;608906
2018-11-09;14685;189;180;171719;608906
2018-11-12;14815;189;180;171719;608906
2018-11-13;14810;189;180;171719;608906
2018-11-14;14787;189;180;171719;608906
2018-11-15;14678;189;180;171719;608906
2018-11-16;14612;189;180;171719;608906
2018-11-19;14590;189;180;171719;608906
2018-11-20;14590;189;180;171719;608906
2018-11-21;14605;189;180;171719;608906
2018-11-22;14578;189;180;171719;608906
2018-11-23;14540;189;180;171719;608906
2018-11-26;14475;189;180;171719;608906
2018-11-27;14514;189;180;171719;608906
2018-11-28;14528;189;180;171719;608906
2018-11-29;14383;189;180;171719;608906
2018-11-30;14303;189;180;171719;608906
2018-12-03;14240;189;180;171719;608906
2018-12-04;14290;189;180;171719;608906
2018-12-05;14395;189;180;171719;608906
2018-12-06;14520;189;180;171719;608906
2018-12-07;14470;189;180;171719;608906
2018-12-10;14555;189;180;171719;608906
2018-12-11;14600;189;180;171719;608906
2018-12-12;14598;189;180;171719;608906
2018-12-13;14498;189;180;171719;608906
2018-12-14;14585;189;180;171719;608906
2018-12-17;14575;189;180;171719;608906
2018-12-18;14500;189;180;171719;608906
2018-12-19;14443;189;180;171719;608906
2018-12-20;14470;189;180;171719;608906
2018-12-21;14555;189;180;171719;608906
2018-12-24;14555;189;180;171719;608906
2018-12-25;14555;189;180;171719;608906
2018-12-26;14575;189;180;171719;608906
2018-12-27;14560;189;180;171719;608906
2018-12-28;14560;189;180;171719;608906
2018-12-31;14380;189;180;171719;608906
2019-01-01;14380;171;168;162629;654474
2019-01-02;14450;171;168;162629;654474
2019-01-03;14410;171;168;162629;654474
2019-01-04;14270;171;168;162629;654474
2019-01-07;14090;171;168;162629;654474
2019-01-08;14145;171;168;162629;654474
2019-01-09;14125;171;168;162629;654474
2019-01-10;14055;171;168;162629;654474
2019-01-11;14045;171;168;162629;654474
2019-01-14;14124;171;168;162629;654474
2019-01-15;14093;171;168;162629;654474
2019-01-16;14123;171;168;162629;654474
2019-01-17;14180;171;168;162629;654474
2019-01-18;14175;171;168;162629;654474
2019-01-21;14223;171;168;162629;654474
2019-01-22;14215;171;168;162629;654474
2019-01-23;14180;171;168;162629;654474
2019-01-24;14165;171;168;162629;654474
2019-01-25;14085;171;168;162629;654474
2019-01-28;14070;171;168;162629;654474
2019-01-29;14095;171;168;162629;654474
2019-01-30;14130;171;168;162629;654474
2019-01-31;13973;171;168;162629;654474
2019-02-01;13940;171;168;162629;654474
2019-02-04;13955;171;168;162629;654474
2019-02-05;13955;171;168;162629;654474
2019-02-06;13922;171;168;162629;654474
2019-02-07;13973;171;168;162629;654474
